tempo,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,spectral_centroid,spectral_rolloff,zero_crossing_rate,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_contrast,spectral_bandwidth,spectral_flatness,energy,rms,rms_std,rms_max,rms_min,hnr,genre
[58.72691761],-350.3589,169.54633,31.780228,16.713755,28.661758,19.24909,7.8467,10.039796,4.742695,2.915623,3.8965418,1.8103498,-5.970981,51.561817,24.954689,17.799574,14.616209,13.723824,8.287094,6.37434,6.0542054,6.3776693,6.0544558,6.8253856,6.5099473,570.1506880585581,928.8527166880322,0.0217005490518575,0.0805449,0.11124517,0.08080336,0.13050799,0.44586527,0.04414513,0.21800502,0.044910304,0.16475667,0.3716051,0.12324431,0.50111026,21.405046527628777,995.0934725815812,0.00045653596,7.9403305,0.06589097,0.04247525,0.2448315,0.010989595,11.515579,blues
[172.265625],-155.51651,125.655754,1.5753218,45.82987,0.9089945,25.39124,-10.813493,15.574149,-11.929206,1.2717781,-6.6615033,-0.77912474,-7.7492247,55.452126,28.322247,22.219938,18.818684,16.19179,12.555946,15.502988,11.410939,12.71701,10.446717,10.342662,10.575723,1441.9992540972155,3083.26468925358,0.0508893370259287,0.3030633,0.43618605,0.20584206,0.23580042,0.19836284,0.27389622,0.26000044,0.13968149,0.24680747,0.21305346,0.20985848,0.16560848,22.664558395913968,1870.239190780009,0.0017888022,35.769768,0.15801172,0.05213325,0.3755669,0.027231794,4.366824,blues
[135.99917763],-83.00168,107.06744,-25.32368,57.122074,0.08129873,34.708904,-11.047215,20.53328,-11.220151,14.839782,-10.229966,12.542857,-9.772627,50.086,17.731565,18.459555,14.294721,11.751493,8.546209,10.087645,7.2216797,7.803848,7.6935725,6.6168017,7.102965,1945.6207939267476,4175.766416378435,0.0858059815208978,0.24473575,0.26978135,0.291713,0.3166063,0.34909588,0.271246,0.31637058,0.23354045,0.23610833,0.22923057,0.2269093,0.34728262,21.13298109773592,2082.1764771287803,0.0043359115,48.091248,0.18233933,0.06304518,0.35924545,0.039847862,2.326115,blues
[135.99917763],-109.53234,86.9265,-8.6249895,64.4895,-6.306035,43.64582,-8.293104,28.546427,-14.081592,8.136635,-21.490427,11.0866165,-5.094468,28.748568,15.097681,16.685371,9.073115,7.424357,6.232555,7.187097,7.410312,8.81322,9.246449,8.340618,9.750324,2279.2655430324075,5198.476898854731,0.0925704908813854,0.21128999,0.25115037,0.2727483,0.37022555,0.22197872,0.23202547,0.23409496,0.28236502,0.35187104,0.3024823,0.33177695,0.19493566,21.730343721527653,2375.0847954510323,0.005403539,24.562292,0.136178,0.021601215,0.21271732,0.07294631,2.3944314,blues
[123.046875],-2.5510163,101.25788,-33.92729,41.518402,-13.815158,31.920723,-21.8686,24.458948,-15.881366,15.794475,-14.372411,12.507441,-13.373969,27.117607,12.811489,11.951033,9.991866,10.247645,6.9528613,8.171124,6.5473914,6.4064283,5.728189,6.6236033,6.415306,2333.7163897098885,4942.928444121275,0.1238631965944272,0.21727191,0.31765908,0.25716397,0.3516687,0.24630444,0.24079806,0.29938933,0.3445485,0.28968316,0.24088554,0.33792576,0.23910026,20.96709544977081,2227.415627258666,0.010029099,89.49393,0.25794896,0.052249998,0.4011554,0.11134879,1.4476744,blues
[78.30255682],-3.5590715,92.92779,-25.118544,45.18721,-10.871894,31.86242,-18.057922,28.628012,-10.234054,14.673487,-14.906988,14.751648,-15.609781,31.94751,13.095652,12.165662,8.105904,8.383872,6.5187,8.535204,6.941318,7.6848683,6.464504,5.4963775,5.343689,2443.2389164951205,5267.559814453125,0.1247354513351393,0.23151337,0.24024382,0.2533331,0.43014795,0.22627953,0.23691615,0.30776083,0.26479036,0.25518838,0.24190855,0.37648794,0.24466519,21.78412624498506,2358.3844917583942,0.010715961,97.16048,0.2707483,0.043554246,0.38484445,0.12583372,2.4604092,blues
[129.19921875],-163.24313,89.78488,12.977459,80.69249,3.666775,39.74513,-5.4003787,26.49867,-13.163736,2.7070134,-20.552906,6.0071893,-2.9081326,25.894104,14.411772,11.619854,6.583356,5.7342224,6.231464,6.629444,5.619318,6.1616793,5.993094,6.2388144,6.1441875,1739.0461604116051,4551.180812965606,0.0480518636319659,0.2450746,0.22337648,0.19952291,0.30740544,0.16072124,0.25579035,0.29831648,0.29602227,0.34771526,0.31102785,0.38763598,0.2573685,21.93194037726016,2290.4006079788996,0.0016981729,29.332245,0.14830446,0.02662259,0.23061086,0.08255059,3.1014664,blues
[99.38401442],-55.59663,114.95122,-37.06935,64.90438,-7.164943,15.254703,-16.23533,18.643576,-9.752286,21.46539,-5.6520977,12.78424,-16.537031,31.829872,17.848873,14.322847,8.300191,9.678401,10.725654,9.887148,8.827359,8.275676,8.566148,8.486259,9.965743,1977.108904009419,3942.8761579672982,0.1066270952254257,0.19621427,0.24774504,0.23984516,0.28329474,0.41903716,0.25727117,0.2719369,0.31122747,0.32322627,0.2780035,0.23890613,0.25976545,21.550471558373605,1927.4390139416107,0.0045994185,52.17029,0.19665055,0.0413285,0.3052955,0.0906691,1.9945804,blues
[123.046875],-212.8154,139.06923,9.454342,35.44627,12.709544,20.417665,-5.5739527,10.893662,-8.731713,8.055455,0.16379716,2.6417468,-1.0257348,85.14984,39.454334,27.067417,16.067995,17.628067,13.639941,13.428531,10.102541,11.857323,8.717925,9.7588625,8.690609,1245.5817719137374,2517.6097763581174,0.0488266132933436,0.23107862,0.24548316,0.30961356,0.17052478,0.2821723,0.22560394,0.22628312,0.32731214,0.19428398,0.28190655,0.285892,0.22815692,21.167759614994154,1634.2884053266528,0.0026754795,24.90266,0.12492373,0.060568705,0.3427368,0.012139548,4.845536,blues
[83.35433468],-332.30798,128.08076,28.825216,41.83606,31.234665,23.35822,5.7872233,8.996202,-3.8611279,3.739,-0.86905843,-0.43693066,1.4746556,85.37591,31.0805,34.439568,17.433765,15.133577,12.641896,13.675535,12.189833,13.559095,9.787618,9.528159,9.091467,918.3602069536572,1601.531982421875,0.0323180207527089,0.15665089,0.24970448,0.10837764,0.14392288,0.31153852,0.14817366,0.35577595,0.18885413,0.32907715,0.22659205,0.14416914,0.23733161,20.944062093111704,1436.6652243994909,0.0011272271,7.116083,0.06304374,0.039157264,0.2715611,0.0060583986,9.572785,blues
